codpais,idprovincia,iae,descripcion
ESP,48,135110,TELEFONO ETA TELEGRAFIAKO APARATUEN ETA EKIPOAREN FABRIKAZIOA 
ESP,48,135120,"IRRATIKOMUNIKAZIO, IRRATIHEDAPEN ETA TELEBISTAKO EKIPO APARATUEN FABRIKAZIOA "
ESP,48,135200,APARATU ETA EKIPO ELEKTROMEDIKUEN ETA LANBIDEETAN ETA ZIENTZIAN ERABILTZEKO DI 
ESP,48,135300,"SEINALEZTAPEN, KONTROL ETA PROGRAMAZIORAKO APARATU ETA EKIPO ELEKTRONIKOEN FAB "
ESP,48,135400,OSAGAI ELEKTRONIKO ETA ZIRKUITU INTEGRATUEN FABRIKAZIOA 
ESP,48,135510,IRRATI TELEBISTEN ETA SOINU IRUDIEN ERREGISTRO ETA BERREGINGAILUEN FABRIKAZIOA 
ESP,48,135520,"SOINU GRABATUDUN, EUSKARRIEN, BIDEOKOEN ETA INFORMATIKAKOEN EDIZIOA "
ESP,48,136100,IBILGAILU AUTOMOBILAK ETA BEREN MOTOREAK EGIN ETA MUNTATZEA 
ESP,48,136200,"KARROZERIA, ATOI ETA BROZELAK EGITEA "
ESP,48,136300,"IBILGAILU AUTOMOBILETARAKO EKIPO, OSAGAI, ALDAGAILU ETA ORDEZKAGAIAK EGITEA "
ESP,48,137100,UNTZIGINTZA 
ESP,48,137200,UNTZIEN KONPONKETA ETA MANTENIMENDUA 
ESP,48,138100,"TRENBIDE MATERIALA EGIN, KONPONDU ETA MANTENTZEA "
ESP,48,138200,"AIREUNTZIAK EGIN, KONPONDU ETA MANTENTZEA "
ESP,48,138300,"BIZIKLETA, MOTOZIKLETA ETA BEREN ORDEZKAGAIAK EGITEA "
ESP,48,138900,BESTELAKO ATALETAN BILDU EZ DEN GARRAIO MATERIALA EGITEA 
ESP,48,139100,"ZEHAZTASUN, NEURKETA ETA KONTROLERAKO TRESNEN FABRIKAZIOA "
ESP,48,139210,MATERIAL MEDIKU KIRURGIKOAREN FABRIKAZIOA 
ESP,48,139220,PROTESI ETA ORTOPEDIAKO APARATUEN FABRIKAZIOA 
ESP,48,139310,OPTIKA TRESNAK ETA ARGAZKIGINTZA ETA ZINEMATOGRAFIAKO MATERIALA (BETAURREKOETA 
