ES3116;"CAJA RURAL DE MOTA DEL CUERVO";BCOEESMM116
ES3117;"CAJA RURAL DE ALGEMESI COOP. DE CRÉDITO AGRÍCOLA";BCOEESMM117
ES3118;"CAJA RURAL DE TORRENT COOP. DE CRÉDITO VALENCIANA";CCRIES2A118
ES3119;"CAJA RURAL SAN JAIME COOP. DE CRÉDITO VALENCIANA";CCRIES2A119
ES3121;"CAJA RURAL DE CHESTE";CCRIES2A121
ES3123;"CAJA RURAL DE TURIS";CCRIES2A123
ES3127;"CAJA RURAL DE CASAS IBAÑEZ SDAD. COOP.";BCOEESMM127
ES3130;"CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA";BCOEESMM13
ES3134;"C. RURAL NTRA. SRA. ESPERANZA COOP. DE CRED. VALENCIANA";BCOEESMM134
ES3135;"CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA";CCRIES2A135
ES3137;"SOCIEDAD COOPERATIVA DE CRÉDITO CAJA RURAL CASINENSE";CCRIES2A137
ES3138;"CAJA RURAL CRÉDITO AGRÍCOLA COOP. DE CRÉDITO VALENCIANA";BCOEESMM138
ES3140;"SOCIEDAD COOPERATIVA DE CRÉDITO CAJA RURAL DE GUISSONA";BCOEESMM14
ES3144;"CAJA RURAL DE VILLAMALEA";BCOEESMM144
ES3146;"CAJA ESCOLAR DE FOMENTO SDAD COOP. DE CRÉDITO LDA.";CCCVESM1XXX
ES3150;"CAJA RURAL DE ALBAL COOP. DE CRÉDITO VALENCIANA";BCOEESMM15
ES3152;"CAJA RURAL DE VILLAR COOP. DE CRÉDITO VALENCIANA";CCRIES2A152
ES3157;"CAJA RURAL LA JUNQUERA COOP. DE CRÉDITO VALENCIANA";CCRIES2A157
ES3159;"CAIXA POPULAR COOP. DE CRÉDITO VALENCIANA";BCOEESMM159
ES3160;"CAJA RURAL SAN JOSÉ COOP. DE CRÉDITO VALENCIANA";CCRIES2A16
ES3162;"CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA";BCOEESMM162
ES3165;"CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA";CCRIES2A165
ES3166;"CAJA RURAL SAN ISIDRO COOP. DE CRÉDITO VALENCIANA";BCOEESMM166
ES3171;"CAIXA DELS ADVOCATS DE CATALUNYA SDAD. COOP. DE CRÉDITO";CXAVESB1XXX
ES3172;"CAJA CAMINOS SDAD. COOP. DE CRÉDITO";CCOCESMMXXX
ES3174;"CAJA RURAL EL SALVADOR COOP. DE CRÉDITO VALENCIANA";BCOEESMM174
ES3177;"CAJA RURAL DE CANARIAS";BCOEESMM177
ES3179;"CAJA RURAL DE ALGINET SDAD. COOP. DE CRÉDITO VALENCIANA";CCRIES2A179
ES3183;"CAJA DE ARQUITECTOS SDAD. COOP. DE CRÉDITO LDA.";CASDESBBXXX
ES3187;"CAJA RURAL DEL SUR";BCOEESMM187
ES3188;"CREDIT VALENCIA C.R.CTO.VALENCIANA";CCRIES2A188
ES9000;"BANCO DE ESPAÑA";ESPBESMMXXX
ES3191;"NUEVA CAJA RURAL DE ARAGON, SOCIEDAD COOPERATIVA DE CREDITO";BCOEESMM191
ES0011;"ALLFUNDS BANK, S.A.";ALLFESMMXXX
ES0184;"BANCO EUROPEO DE FINANZAS, S.A.";BEDFESM1XXX
ES0223;"GENERAL ELECTRIC CAPITAL BANK, S.A.";GEECESB1XXX
ES0224;"SANTANDER CONSUMER FINANCE, S.A.";SCFBESMMXXX
ES0225;"BANCO CETELEM, S.A.";FIEIESM1XXX
ES0226;"UBS BANK, S.A.";UBSWESMMXXX
ES0231;"DEXIA SABADELL, S.A.";DSBLESMMXXX
ES0232;"BANCO INVERSIS, S.A.";INVLESMMXXX
ES0233;"POPULAR BANCA PRIVADA, S.A.";POPIESMMXXX
ES0234;"BANCO CAMINOS, S.A.";CCOCESMMXXX
ES0235;"BANCO PICHINCHA ESPAÑA, S.A.";PIESESM1XXX
ES0236;"LLOYDS BANK INTERNATIONAL, S.A.";LOYIESMMXXX
ES0237;"BBK BANK CAJASUR, S.A.";CSURES2CXXX
ES0488;"BANCO FINANCIERO Y DE AHORROS, S.A.";BFASESMMXXX
ES0490;"BANCA CIVICA, S.A.";GBCCESMMXXX
ES2108;"BANCO DE CAJA ESPAÑA DE INVERSIONES, SALAMANCA Y SORIA, S.A.";CSPAES2L18
ES2404;"CAJA INSULAR DE AHORROS DE CANARIAS";CECAESMM52
ES2405;"CAIXA D´ESTALVIS LAIETANA";CECAESMM42
ES2406;"CAJA DE AHORROS DE LA RIOJA";CECAESMM37
ES2408;"CAJA DE AHORROS Y MONTE DE PIEDAD DE SEGOVIA";CECAESMM69
ES2410;"CAJA DE AHORROS Y MONTE DE PIEDAD DE NAVARRA";CANVES2PXXX
ES2411;"MONTE DE PIEDAD Y CAJA DE AHORROS SAN FERNANDO DE GUADALAJARA, HUELVA, JEREZ Y SEVILLA";CECAESMM16
ES2412;"CAJA GENERAL DE AHORROS DE CANARIAS";CECAESMM65
ES2413;"CAJA DE AHORROS MUNICIPAL DE BURGOS";CECAESMM18
ES2415;"CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA";CECAESMM99
ES2416;"CAJA DE AHORROS DE SANTANDER Y CANTABRIA";CECAESMM66
ES2421;"CAJA GENERAL DE AHORROS DE GRANADA";CECAESMM31
ES2422;"CAJA DE AHORROS DE MURCIA";CECAESMM43
ES2423;"CAIXA D´ESTALVIS DEL PENEDES";CECAESMM81
ES2424;"CAJA DE AHORROS Y MONTE DE PIEDAD DE LAS BALEARES";CECAESMM51
ES3186;"CAIXA RURAL ALBALAT DELS SORELLS, COOPERATIVA DE CREDIT VALENCIANA";CCRIES2A186
ES3190;"CAJA RURAL DE ALBACETE, CIUDAD REAL Y CUENCA, SOCIEDAD COOPERATIVA DE CREDITO";BCOEESMM19
ES0021;"BANCO CONDAL";BCNDESM1XXX
ES0041;"BANCO DE JEREZ";CAIXESBBXXX
ES1460;"CREDIT SUISSE SUCURSAL EN ESPAÑA";CRESESMMXXX
ES8233;"CELERIS SERVICIOS FINANCIEROS, S.A., E.F.C.";CSFAESM1XXX
ES1466;"FRANFINANCE, S.E.";FRANESM1XXX
