codpais,idprovincia,iae,descripcion
ESP,48,131690,FABRICACION DE OTROS ARTICULOS ACABADOS EN METALES N.C.O.P.
ESP,48,131910,MECANICA GENERAL
ESP,48,131990,TALLERES MECANICOS N.C.O.P.
ESP,48,132110,CONSTRUCCION DE MAQUINAS AGRICOLAS
ESP,48,132120,CONSTRUCCION DE TRACTORES AGRICOLAS
ESP,48,132210,CONSTRUCCION DE MAQUINAS PARA TRABAJAR LOS METALES
ESP,48,132220,CONSTRUCCION DE MAQUINAS PARA TRABAJAR LA MADERA Y EL CORCHO
ESP,48,132230,"FABRICACION DE UTILES, EQUIPOS, PIEZAS Y ACCESORIOS PARA MAQUINAS-HERRAMIENTAS"
ESP,48,132310,CONSTRUCCION DE MAQUINAS TEXTILES Y SUS ACCESORIOS
ESP,48,132320,CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS DEL CUERO Y CALZADO
ESP,48,132330,FABRICACION DE MAQUINAS DE COSER
ESP,48,132410,"CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS ALIMENTICIAS, DE BEBIDAS Y TABACO"
ESP,48,132420,CONSTRUCCION DE MAQUINAS PARA LA INDUSTRIA QUIMICA
ESP,48,132430,CONSTRUCCION MAQUINAS PARA LAS INDUST.DE TRANSFORMACION DEL CAUCHO Y MAT.PLAST
ESP,48,132510,"CONSTRUCCION DE MAQUINAS Y EQUIPO PARA MINERIA, CONSTRUCCION Y OBRAS PUBLICAS"
ESP,48,132520,CONSTRUCCION MAQUINAS Y EQUIPO PARA LAS INDUSTRIAS DE PROD.MINERALES NO METAL.
ESP,48,132530,CONSTRUCCION DE MAQUINAS Y EQUIPO PARA LA SIDERURGIA Y FUNDICION
ESP,48,132540,CONSTRUCCION DE MAQUINARIA DE ELEVACION Y MANIPULACION
ESP,48,132610,"FABRICACION DE ENGRANAJES, CADENAS TRANSMISION Y OTROS ORGANOS DE TRANSMISION"
ESP,48,132620,FABRICACION DE RODAMIENTOS
ESP,48,132910,"CONSTRUCCION DE MAQUINAS PARA LAS INDUSTRIAS DEL PAPEL, CARTON Y ARTES GRAFICA"
ESP,48,132920,CONSTRUCCION DE MAQUINAS DE LAVADO Y LIMPIEZA EN SECO
ESP,48,132930,CONSTRUCCION DE MOTORES Y TURBINAS (EXCEPTO LOS DESTINADOS AL TRANSPORTE)
ESP,48,132940,CONSTRUCCION DE MAQUINARIA PARA LA MANIPULACION DE FLUIDOS
ESP,48,132990,CONSTRUCCION DE OTRAS MAQUINAS Y EQUIPO MECANICO N.C.O.P.
ESP,48,133000,CONSTRUCCION DE MAQUINAS DE OFICINA Y ORDENADORES (INCLUIDA SU INSTALACION)
ESP,48,134100,FABRICACION DE HILOS Y CABLES ELECTRICOS
ESP,48,134200,FABRICACION DE MATERIAL ELECTRICO DE UTILIZACION Y EQUIPAMIENTO
ESP,48,134300,FABRICACION DE PILAS Y ACUMULADORES
ESP,48,134400,"FABRICACION CONTADORES Y APARATOS DE MEDIDA, CONTROL Y VERIFICACION ELECTRICOS"
ESP,48,134500,FABRICACION DE APARATOS ELECTRODOMESTICOS
ESP,48,134600,FABRICACION DE LAMPARAS Y MATERIAL DE ALUMBRADO
ESP,48,135110,FABRICACION DE APARATOS Y EQUIPO TELEFONICO Y TELEGRAFICO
